file_path,object,region,ip_country,date,make,model,gps_position,gps_altitude,resolution,licence_plate,people_in_background,tree_tag,latitude,longitude,latitude_dd,longitude_dd,place_name,tag
Europe/Romania/Romania_bag_002.jpg,bag,Europe,Romania,2022-03-24 15:14:33.979000,Apple,iPhone XS back camera 4.25mm f/1.8,"46 deg 46' 36.82"" N, 23 deg 37' 18.70"" E",334.9 m Above Sea Level,480x927,no,no,no,"46 deg 46' 36.82"" N"," 23 deg 37' 18.70"" E",46.77689444444445,23.621861111111112,"Cluj-Napoca, Municipiu Cluj-napoca, Județul Cluj","backpack, bag, black, floor, lay, messenger bag, shoulder bag, strap, wood floor"
Europe/Romania/Romania_bag_003.jpg,bag,Europe,Romania,2022-03-24 15:14:33.979000,Apple,iPhone XS back camera 4.25mm f/1.8,"46 deg 46' 36.62"" N, 23 deg 37' 18.56"" E",335.3 m Above Sea Level,925x480,no,no,no,"46 deg 46' 36.62"" N"," 23 deg 37' 18.56"" E",46.77683888888889,23.62182222222222,"Cluj-Napoca, Municipiu Cluj-napoca, Județul Cluj","bag, bin, black, floor, kitchen floor, plastic, shopping bag, strap, tote bag"
Europe/Romania/Romania_bag_004.jpg,bag,Europe,Romania,2022-03-24 15:14:33.979000,Apple,iPhone XS back camera 4.25mm f/1.8,"46 deg 46' 36.68"" N, 23 deg 37' 18.66"" E",334.7 m Above Sea Level,480x927,no,no,no,"46 deg 46' 36.68"" N"," 23 deg 37' 18.66"" E",46.77685555555556,23.62185,"Cluj-Napoca, Municipiu Cluj-napoca, Județul Cluj","bag, brand, floor, logo, tile wall, tote bag, white"
Europe/Romania/Romania_bag_254.jpg,bag,Europe,Romania,2022-03-25 12:43:31.813000,Apple,iPhone 11 Pro back camera 4.25mm f/1.8,"45 deg 40' 2.94"" N, 25 deg 37' 8.67"" E",556.5 m Above Sea Level,480x927,no,no,no,"45 deg 40' 2.94"" N"," 25 deg 37' 8.67"" E",45.66748333333333,25.619075,"Brașov, Municipiu Braşov, Județul Brașov","bag, brown, floor, handbag, hardwood floor, messenger bag, satchel, shoulder bag, sit, strap, tan, wood floor"
Europe/Romania/Romania_bag_255.jpg,bag,Europe,Romania,2022-03-25 12:43:31.813000,Apple,iPhone 11 Pro back camera 4.25mm f/1.8,"45 deg 40' 2.94"" N, 25 deg 37' 8.67"" E",556.5 m Above Sea Level,480x927,no,no,no,"45 deg 40' 2.94"" N"," 25 deg 37' 8.67"" E",45.66748333333333,25.619075,"Brașov, Municipiu Braşov, Județul Brașov","bag, black, floor, handbag, hardwood floor, shoulder bag, sit, strap, wood floor"
Europe/Romania/Romania_bag_253.jpg,bag,Europe,Romania,2022-03-25 12:43:31.813000,Apple,iPhone 11 Pro back camera 4.25mm f/1.8,"45 deg 40' 2.94"" N, 25 deg 37' 8.67"" E",556.5 m Above Sea Level,480x927,no,no,no,"45 deg 40' 2.94"" N"," 25 deg 37' 8.67"" E",45.66748333333333,25.619075,"Brașov, Municipiu Braşov, Județul Brașov","bag, brown, floor, paper bag, red, shopping bag, wood floor, writing"
EastAsia/China/China_bag_428.jpg,bag,EastAsia,China,2022-03-26 04:20:36.915000,Apple,iPhone 12 back camera 4.2mm f/1.6,"23 deg 9' 0.60"" N, 113 deg 12' 20.92"" E",15.2 m Above Sea Level,480x927,no,no,no,"23 deg 9' 0.60"" N"," 113 deg 12' 20.92"" E",23.150166666666664,113.20581111111112,"Guang Zhou Shi, Guang Dong Sheng","backpack, bag, floor, messenger bag, pocket, shoulder bag, sit, strap, yellow, zipper"
EastAsia/China/China_bag_429.jpg,bag,EastAsia,China,2022-03-26 04:20:36.915000,Apple,iPhone 12 back camera 4.2mm f/1.6,"23 deg 9' 0.40"" N, 113 deg 12' 20.89"" E",14.5 m Above Sea Level,480x927,no,no,no,"23 deg 9' 0.40"" N"," 113 deg 12' 20.89"" E",23.15011111111111,113.20580277777778,"Guang Zhou Shi, Guang Dong Sheng","bag, cat, pad, mouse, pillow, pouch, shoulder bag, tote bag, toy"
EastAsia/China/China_bag_430.jpg,bag,EastAsia,China,2022-03-26 04:20:36.915000,Apple,iPhone 12 back camera 4.2mm f/1.6,"23 deg 9' 1.12"" N, 113 deg 12' 21.33"" E",15 m Above Sea Level,480x927,no,no,no,"23 deg 9' 1.12"" N"," 113 deg 12' 21.33"" E",23.150311111111108,113.205925,"Guang Zhou Shi, Guang Dong Sheng","backpack, bag, pouch, red, shelf, sit, strap, toy"
Europe/Romania/Romania_bag_564.jpg,bag,Europe,Romania,2022-03-26 17:45:45.492000,Apple,iPhone X back camera 4mm f/1.8,"44 deg 12' 54.87"" N, 28 deg 38' 39.15"" E",7.8 m Above Sea Level,925x480,no,no,no,"44 deg 12' 54.87"" N"," 28 deg 38' 39.15"" E",44.21524166666667,28.64420833333333,"Constanța, Municipiul Constanța, Județul Constanța","attach, bag, blue, briefcase, floor, gray, handbag, lock, sit, stool, strap"
